1 4 11
1 11 18
1 18 4
2 9 12
2 9 19
2 12 19
3 10 17
3 10 20
3 17 20
4 18 11
5 8 15
5 8 22
5 15 22
6 13 16
6 13 23
6 16 23
7 14 21
7 14 24
7 21 24
8 15 22
9 12 19
10 17 20
13 16 23
14 21 24
25 34 37
25 34 46
25 37 46
26 29 38
26 29 41
26 38 41
27 36 39
27 39 48
27 48 36
28 31 40
28 31 43
28 43 40
29 38 41
30 33 42
30 33 45
30 42 45
31 43 40
32 35 44
32 35 47
32 44 47
33 42 45
34 37 46
35 44 47
36 48 39
49 60 62
49 60 71
49 62 71
50 59 61
50 59 72
50 61 72
51 53 64
51 53 66
51 64 66
52 54 63
52 54 65
52 63 65
53 64 66
54 63 65
55 57 68
55 57 70
55 70 68
56 58 67
56 58 69
56 67 69
57 70 68
58 67 69
59 61 72
60 62 71
73 82 85
73 82 94
73 85 94
74 77 86
74 77 89
74 86 89
75 84 87
75 87 96
75 96 84
76 79 88
76 79 91
76 91 88
77 86 89
78 81 90
78 81 93
78 90 93
79 91 88
80 83 92
80 83 95
80 92 95
81 90 93
82 85 94
83 92 95
84 96 87
97 108 110
97 108 119
97 110 119
98 107 109
98 107 120
98 109 120
99 101 112
99 101 114
99 112 114
100 102 111
100 102 113
100 111 113
101 112 114
102 111 113
103 105 116
103 105 118
103 118 116
104 106 115
104 106 117
104 115 117
105 118 116
106 115 117
107 109 120
108 110 119
121 124 131
121 131 138
121 138 124
122 129 132
122 129 139
122 132 139
123 130 137
123 130 140
123 137 140
124 138 131
125 128 135
125 128 142
125 135 142
126 133 136
126 133 143
126 136 143
127 134 141
127 134 144
127 141 144
128 135 142
129 132 139
130 137 140
133 136 143
134 141 144
